episode,timestep,reward
5,2000,-97.2575
7,4000,-66.1223
9,6000,-65.1018
15,8000,-112.9339
18,10000,-81.1429
22,12000,-113.1106
25,14000,-85.5255
28,16000,-117.1256
35,18000,-96.4079
40,20000,-92.6078
44,22000,-112.1034
52,24000,-101.8415
57,26000,-87.3158
61,28000,-96.1335
67,30000,-93.6367
71,32000,-89.7861
73,34000,-68.7354
77,36000,-90.4979
79,38000,-145.6058
83,40000,-99.8969
86,42000,-90.7629
